module	repository_path	artifact_type	role	provenance_status	principal_output	notes
01_dataset_processing	scripts/01_dataset_processing/build_clean_platform_annotations.py	python_script	dataset_processing_or_qc	CANONICAL	See script source / workflow execution order	
01_dataset_processing	scripts/01_dataset_processing/build_gene_level_matrices.py	python_script	dataset_processing_or_qc	CANONICAL	See script source / workflow execution order	
01_dataset_processing	scripts/01_dataset_processing/cross_platform_harmonization.py	python_script	dataset_processing_or_qc	CANONICAL	See script source / workflow execution order	
01_dataset_processing	scripts/01_dataset_processing/download_platform_annotations.py	python_script	dataset_processing_or_qc	CANONICAL	See script source / workflow execution order	
01_dataset_processing	scripts/01_dataset_processing/extract_gse38900_metadata.py	python_script	dataset_processing_or_qc	CANONICAL	See script source / workflow execution order	
01_dataset_processing	scripts/01_dataset_processing/harmonize_gse38900_phenotypes.py	python_script	dataset_processing_or_qc	CANONICAL	See script source / workflow execution order	
01_dataset_processing	scripts/01_dataset_processing/normalize_illumina_vsn.R	R_script	dataset_processing_or_qc	CANONICAL	See script source / workflow execution order	
01_dataset_processing	scripts/01_dataset_processing/parse_illumina_supplementary.py	python_script	dataset_processing_or_qc	CANONICAL	See script source / workflow execution order	
01_dataset_processing	scripts/01_dataset_processing/postcollapse_gene_qc.py	python_script	dataset_processing_or_qc	CANONICAL	See script source / workflow execution order	
01_dataset_processing	scripts/01_dataset_processing/probe_collapsing_audit.py	python_script	dataset_processing_or_qc	CANONICAL	See script source / workflow execution order	
01_dataset_processing	scripts/01_dataset_processing/validate_ds001_inputs.py	python_script	dataset_processing_or_qc	CANONICAL	See script source / workflow execution order	
02_differential_expression	scripts/02_differential_expression/audit_de_contrasts.py	python_script	differential_expression_or_qc	CANONICAL	See script source / workflow execution order	
02_differential_expression	scripts/02_differential_expression/audit_primary_DE_results.py	python_script	differential_expression_or_qc	CANONICAL	See script source / workflow execution order	
02_differential_expression	scripts/02_differential_expression/build_de_sample_inventory.py	python_script	differential_expression_or_qc	CANONICAL	See script source / workflow execution order	
02_differential_expression	scripts/02_differential_expression/run_DE_sensitivity_analyses.R	R_script	differential_expression_or_qc	CANONICAL	See script source / workflow execution order	
02_differential_expression	scripts/02_differential_expression/run_primary_limma_DE.R	R_script	differential_expression_or_qc	CANONICAL	See script source / workflow execution order	
02_differential_expression	scripts/02_differential_expression/validate_de_inputs.py	python_script	differential_expression_or_qc	CANONICAL	See script source / workflow execution order	
02_differential_expression	scripts/02_differential_expression/verify_de_sample_alignment.py	python_script	differential_expression_or_qc	CANONICAL	See script source / workflow execution order	
